CLIENTNUM,Customer_Age,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
768805383,45,M,High School,Married,$60K - $80K,Blue,39,1,3,12691,777,11914,1.335,1144,42,1.625,0.061
818770008,49,F,Graduate,Single,Less than $40K,Blue,44,1,2,8256,864,7392,1.541,1291,33,3.714,0.105
713982108,51,M,Graduate,Married,$80K - $120K,Blue,36,1,0,3418,0,3418,2.594,1887,20,2.333,0
769911858,40,F,High School,Unknown,Less than $40K,Blue,34,4,1,3313,2517,796,1.405,1171,20,2.333,0.76
709106358,40,M,Uneducated,Married,$60K - $80K,Blue,21,1,0,4716,0,4716,2.175,816,28,2.5,0
713061558,44,M,Graduate,Married,$40K - $60K,Blue,36,1,2,4010,1247,2763,1.376,1088,24,0.846,0.311
810347208,51,M,Unknown,Married,$120K +,Gold,46,1,3,34516,2264,32252,1.975,1330,31,0.722,0.066
818906208,32,M,High School,Unknown,$60K - $80K,Silver,27,2,2,29081,1396,27685,2.204,1538,36,0.714,0.048
710930508,37,M,Uneducated,Single,$60K - $80K,Blue,36,2,0,22352,2517,19835,3.355,1350,24,1.182,0.113
719661558,48,M,Graduate,Single,$80K - $120K,Blue,36,3,3,11656,1677,9979,1.524,1441,32,0.882,0.144
708790833,42,M,Uneducated,Unknown,$120K +,Blue,31,3,2,6748,1467,5281,0.831,1201,42,0.68,0.217
710821833,65,M,Unknown,Married,$40K - $60K,Blue,54,2,3,9095,1587,7508,1.433,1314,26,1.364,0.174
710599683,56,M,College,Single,$80K - $120K,Blue,36,6,0,11751,0,11751,3.397,1539,17,3.25,0
816082233,35,M,Graduate,Unknown,$60K - $80K,Blue,30,1,3,8547,1666,6881,1.163,1311,33,2,0.195
712396908,57,F,Graduate,Married,Less than $40K,Blue,48,2,2,2436,680,1756,1.19,1570,29,0.611,0.279
714885258,44,M,Unknown,Unknown,$80K - $120K,Blue,37,1,2,4234,972,3262,1.707,1348,27,1.7,0.23
709967358,48,M,Post-Graduate,Single,$80K - $120K,Blue,36,2,3,30367,2362,28005,1.708,1671,27,0.929,0.078
753327333,41,M,Unknown,Married,$80K - $120K,Blue,34,4,1,13535,1291,12244,0.653,1028,21,1.625,0.095
806160108,61,M,High School,Married,$40K - $60K,Blue,56,2,3,3193,2517,676,1.831,1336,30,1.143,0.788
709327383,45,F,Graduate,Married,Unknown,Blue,37,1,2,14470,1157,13313,0.966,1207,21,0.909,0.08
806165208,47,M,Doctorate,Divorced,$60K - $80K,Blue,42,2,0,20979,1800,19179,0.906,1178,27,0.929,0.086
708508758,62,F,Graduate,Married,Less than $40K,Blue,49,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0
784725333,41,M,High School,Married,$40K - $60K,Blue,33,2,1,4470,680,3790,1.608,931,18,1.571,0.152
811604133,47,F,Unknown,Single,Less than $40K,Blue,36,3,2,2492,1560,932,0.573,1126,23,0.353,0.626
789124683,54,M,Unknown,Married,$80K - $120K,Blue,42,2,3,12217,0,12217,1.075,1110,21,0.75,0
